date,close,close_adjusted
2018-02-07,245.9300,215.3943
2018-02-08,236.7900,207.3893
2018-02-09,240.4400,210.5860
2018-02-12,243.7400,213.4763
2018-02-13,244.5600,214.1945
2018-02-14,247.7600,216.9972
2018-02-15,250.9700,219.8086
2018-02-16,250.9400,219.7824
2018-02-20,249.4200,218.4511
2018-02-21,248.1100,217.3037
2018-02-22,248.4100,217.5665
2018-02-23,252.4900,221.1399
2018-02-26,255.4000,223.6886
2018-02-27,252.1400,220.8333
2018-02-28,249.3400,218.3810
2018-03-01,246.0500,215.4995
2018-03-02,247.3600,216.6469
2018-03-05,250.2000,219.1342
2018-03-06,250.8300,219.6861
2018-03-07,250.7200,219.5897
2018-03-08,251.8900,220.6144
2018-03-09,256.2500,224.4330
2018-03-12,256.0000,224.2141
2018-03-13,254.3100,222.7339
2018-03-14,252.9700,221.5603
2018-03-15,252.7300,221.3501
2018-03-16,252.9900,221.5779
2018-03-19,249.6100,218.6175
2018-03-20,250.0500,219.0029
2018-03-21,249.4700,218.4949
2018-03-22,243.2700,213.0647
2018-03-23,238.0900,208.5278
2018-03-26,243.5300,214.2679
2018-03-27,239.3100,210.5550
2018-03-28,238.6400,209.9655
2018-03-29,242.0800,212.9922
2018-04-02,236.4800,208.0650
2018-04-03,239.4800,210.7046
2018-04-04,242.2400,213.1330
2018-04-05,243.9900,214.6727
2018-04-06,238.6200,209.9479
2018-04-09,239.5900,210.8013
2018-04-10,243.5400,214.2767
2018-04-11,242.2500,213.1418
2018-04-12,244.2800,214.9278
2018-04-13,243.6000,214.3295
2018-04-16,245.5800,216.0716
2018-04-17,248.2200,218.3944
2018-04-18,248.3600,218.5176
2018-04-19,247.0000,217.3210
2018-04-20,245.0000,215.5613
2018-04-23,244.8900,215.4645
2018-04-24,241.5500,212.5258
2018-04-25,242.1700,213.0714
2018-04-26,244.6600,215.2622
2018-04-27,244.9200,215.4909
2018-04-30,242.9200,213.7312
2018-05-01,243.4400,214.1887
2018-05-02,241.7800,212.7282
2018-05-03,241.2100,212.2267
2018-05-04,244.4100,215.0422
2018-05-07,245.1700,215.7109
2018-05-08,245.1600,215.7021
2018-05-09,247.5400,217.7961
2018-05-10,249.8600,219.8374
2018-05-11,250.4700,220.3741
2018-05-14,250.7500,220.6204
2018-05-15,249.0300,219.1070
2018-05-16,250.0900,220.0398
2018-05-17,249.8800,219.8549
2018-05-18,249.2600,219.3094
2018-05-21,251.0900,220.9196
2018-05-22,250.3700,220.2861
2018-05-23,251.1500,220.9723
